Isolate,IS110,IS1182,IS1595,IS21,IS256,IS3,IS4,IS5,IS630,IS701,ISL3
YO129,1,0,0,1,1,12,0,77,0,0,0
YO002,1,0,0,1,1,12,0,71,0,0,0
YO184,1,0,0,1,1,12,0,75,0,0,0
YO019,1,0,0,1,1,12,0,80,0,0,0
YO251,1,0,0,1,1,12,0,76,0,0,0
YO250,1,0,0,1,1,12,0,75,0,0,0
YO258,1,0,0,1,1,12,0,77,0,0,0
YO210,1,0,0,1,1,12,0,81,0,0,0
YO241,1,0,0,1,1,12,0,79,0,0,0
YO287,1,0,0,1,1,11,0,73,0,0,0
YO293,1,0,0,1,1,12,0,72,0,0,0
YO237,1,0,0,1,1,13,0,73,0,0,0
YO321,1,0,0,1,1,12,0,69,0,0,0
YO232,1,0,0,1,1,12,0,79,0,0,0
YO203,1,0,0,1,1,11,0,71,0,0,0
YO166,1,0,0,1,1,12,0,70,0,0,0
YO370,1,0,0,1,1,13,0,70,0,0,0
YO070,2,0,0,1,1,11,0,69,0,0,0
YO069,1,0,0,1,1,13,0,76,0,0,0
YO347,1,0,0,1,1,11,0,76,0,0,0
YO316,2,0,0,1,1,12,0,70,0,0,0
YO317,1,0,0,1,1,12,0,71,0,0,0
YO113,1,0,0,1,1,12,0,70,0,0,0
YO369,1,0,0,1,1,12,0,74,0,0,0
YO356,1,0,0,1,1,12,0,73,0,0,0
YO361,1,0,0,1,1,12,0,77,0,0,0
YO097,1,0,0,1,1,13,0,74,0,0,0
YO017,1,0,0,1,1,12,0,74,0,0,0
YO185,1,0,0,1,1,12,0,74,0,0,0
YO172,2,0,0,1,1,12,0,75,0,0,0
YO143,1,0,0,1,1,12,0,69,0,0,0
YO199,1,0,0,1,1,12,0,79,0,0,0
YO066,1,0,0,1,1,12,0,69,0,0,0
YO352,1,0,0,1,1,12,0,70,0,0,0
YO358,1,0,0,1,1,11,0,72,0,0,0
YO360,1,0,0,1,1,12,0,76,0,0,0
YO230,1,0,0,1,1,13,0,71,0,0,0
YO335,1,0,0,1,1,13,0,71,0,0,0
YO365,1,0,0,1,1,12,0,75,0,0,0
YO226,1,0,0,1,1,12,0,73,0,0,0
YO223,1,0,0,1,1,12,0,72,0,0,0
YO246,1,0,0,1,1,12,0,71,0,0,0
YO301,1,0,0,1,1,12,0,74,0,0,0
YO086,1,0,0,1,1,12,0,72,0,0,0
YO236,1,0,0,1,1,11,0,77,0,0,0
YO181,1,0,0,1,1,12,0,73,0,0,0
YO302,1,0,0,1,1,12,0,72,0,0,0
YO183,1,0,0,1,1,12,0,73,0,0,0
YO354,1,0,0,1,1,13,0,73,0,0,0
YO270,1,0,0,0,1,11,0,69,0,0,0
YO229,1,0,0,1,1,12,0,71,0,0,0
YO228,1,0,0,1,1,12,0,74,0,0,0
YO342,1,0,0,1,1,12,0,71,0,0,0
YO218,1,0,0,1,1,10,0,62,0,0,0
YO146,1,0,0,1,1,12,0,74,0,0,0
YO004,1,0,0,1,1,12,0,72,0,0,0
YO132,2,0,0,1,1,12,0,71,0,0,0
YO013,1,0,0,1,1,12,0,81,0,0,0
YO165,1,0,0,1,1,12,0,74,0,0,0
YO051,1,0,0,1,1,12,0,73,0,0,0
YO263,1,0,0,1,1,12,0,73,0,0,0
YO221,1,0,0,1,1,12,0,71,0,0,0
YO306,1,0,0,1,1,12,0,73,0,0,0
YO261,1,0,0,1,1,12,0,69,0,0,0
YO267,1,0,0,1,1,12,0,72,0,0,0
YO260,1,0,0,1,1,12,0,72,0,0,0
YO062,1,0,0,1,1,12,0,71,0,0,0
YO272,1,0,0,1,1,12,0,72,0,0,0
YO341,1,0,0,1,1,12,0,69,0,0,0
YO173,1,0,0,1,1,12,0,77,0,0,0
YO245,1,0,0,1,1,12,0,75,0,0,0
YO247,1,0,0,1,1,12,0,71,0,0,0
YO279,1,0,0,1,1,12,0,75,0,0,0
YO334,1,0,0,1,1,12,0,73,0,0,0
YO273,1,0,0,1,1,12,0,73,0,0,0
YO277,1,0,0,1,1,12,0,76,0,0,0
YO344,1,0,0,1,1,11,0,78,0,0,0
YO117,1,0,0,1,1,12,0,76,0,0,0
YO330,1,0,0,1,1,12,0,70,0,0,0
YO011,1,0,0,1,1,13,0,66,0,0,0
YO212,1,0,0,1,1,12,0,78,0,0,0
YO068,1,0,0,1,1,12,0,71,0,0,0
YO333,1,0,0,1,1,13,0,68,0,0,0
YO303,1,0,0,1,1,12,0,73,0,0,0
YO371,1,0,0,1,1,13,0,69,0,0,0
YO254,1,0,0,1,1,12,0,75,0,0,0
YO054,1,0,0,0,0,0,0,17,0,0,0
YO255,1,0,0,1,1,13,0,76,0,0,0
YO256,1,0,0,1,1,12,0,74,0,0,0
YO094,1,0,0,0,1,12,0,74,0,0,0
YO170,1,0,0,1,1,12,0,74,0,0,0
YO357,1,0,0,1,1,12,0,75,0,0,0
YO363,1,0,0,1,1,12,0,71,0,0,0
YO364,1,0,0,1,1,12,0,77,0,0,0
