Isolate,Region,ISBma3,ISBma2,ISRsy1,ISRme4,ISRso7,IS401,ISAisp2,ISButh1,ISRso10,ISRso11,ISRso12,ISRso14,ISRso16,ISRso20,ISRso13,IS1021,IS1405,IS1420,IS1421,ISRso1,ISRso18,ISRso9,Unknown_IS5,ISVei4,ISRso17,ISRso15
YO129,Chr,1,0,0,0,0,0,0,0,6,0,0,0,1,2,0,35,0,0,0,0,0,0,0,0,0,0
YO002,Chr,1,0,0,0,0,0,0,0,6,0,0,0,1,2,0,32,0,0,0,0,0,0,0,0,0,0
YO184,Chr,1,0,0,0,0,0,0,0,6,0,0,0,1,2,0,34,0,0,0,0,0,0,0,0,0,0
YO019,Chr,1,0,0,0,0,0,0,0,6,0,0,0,1,2,0,36,0,0,0,0,0,0,0,0,0,0
YO251,Chr,1,0,0,0,0,0,0,0,6,0,0,0,1,2,0,34,0,0,0,0,0,0,0,0,0,0
YO250,Chr,1,0,0,0,0,0,0,0,6,0,0,0,1,2,0,34,0,0,0,0,0,0,0,0,0,0
YO258,Chr,1,0,0,0,0,0,0,0,6,0,0,0,1,2,0,34,0,0,0,0,0,0,0,0,0,0
YO210,Chr,1,0,0,0,0,0,0,0,6,0,0,0,1,2,0,35,0,0,0,0,0,0,0,0,0,0
YO241,Chr,1,0,0,0,0,0,0,0,6,0,0,0,1,2,0,35,0,0,0,0,0,0,0,0,0,0
YO287,Chr,1,0,0,0,0,0,0,0,5,0,0,0,1,2,0,34,0,0,0,0,0,0,0,0,0,0
YO293,Chr,1,0,0,0,0,0,0,0,6,0,0,0,1,2,0,33,0,0,0,0,0,0,0,0,0,0
YO237,Chr,1,0,0,0,0,0,0,0,6,0,0,0,1,3,0,32,0,0,0,0,0,0,0,0,0,0
YO321,Chr,1,0,0,0,0,0,0,0,6,0,0,0,1,2,0,32,0,0,0,0,0,0,0,0,0,0
YO232,Chr,1,0,0,0,0,0,0,0,6,0,0,0,1,2,0,34,0,0,0,0,0,0,0,0,0,0
YO203,Chr,1,0,0,0,0,0,0,0,5,0,0,0,1,2,0,31,0,0,0,0,0,0,0,0,0,0
YO166,Chr,1,0,0,0,0,0,0,0,6,0,0,0,1,2,0,32,0,0,0,0,0,0,0,0,0,0
YO370,Chr,1,0,0,0,0,0,0,0,6,0,0,0,1,2,0,31,0,0,0,0,0,0,0,0,0,0
YO070,Chr,2,0,0,0,0,0,0,0,6,0,0,0,1,2,0,35,0,0,0,0,0,0,0,0,0,0
YO069,Chr,1,0,0,0,0,0,0,0,6,0,0,0,1,2,0,34,0,0,0,0,0,0,0,0,0,0
YO347,Chr,1,0,0,0,0,0,0,0,5,0,0,0,1,2,0,33,0,0,0,0,0,0,0,0,0,0
YO316,Chr,2,0,0,0,0,0,0,0,6,0,0,0,1,2,0,32,0,0,0,0,0,0,0,0,0,0
YO317,Chr,1,0,0,0,0,0,0,0,6,0,0,0,1,2,0,32,0,0,0,0,0,0,0,0,0,0
YO113,Chr,1,0,0,0,0,0,0,0,6,0,0,0,1,2,0,32,0,0,0,0,0,0,0,0,0,0
YO369,Chr,1,0,0,0,0,0,0,0,6,0,0,0,1,2,0,34,0,0,0,0,0,0,0,0,0,0
YO356,Chr,1,0,0,0,0,0,0,0,6,0,0,0,1,2,0,33,0,0,0,0,0,0,0,0,0,0
YO361,Chr,1,0,0,0,0,0,0,0,6,0,0,0,1,2,0,34,0,0,0,0,0,0,0,0,0,0
YO097,Chr,1,0,0,0,0,0,0,0,6,0,0,0,1,3,0,34,0,0,0,0,0,0,0,0,0,0
YO017,Chr,1,0,0,0,0,0,0,0,6,0,0,0,1,2,0,33,0,0,0,0,0,0,0,0,0,0
YO185,Chr,1,0,0,0,0,0,0,0,6,0,0,0,1,2,0,36,0,0,0,0,0,0,0,0,0,0
YO172,Chr,2,0,0,0,0,0,0,0,6,0,0,0,1,2,0,33,0,0,0,0,0,0,0,0,0,0
YO143,Chr,1,0,0,0,0,0,0,0,6,0,0,0,1,2,0,31,0,0,0,0,0,0,0,0,0,0
YO199,Chr,1,0,0,0,0,0,0,0,6,0,0,0,1,2,0,34,0,0,0,0,0,0,0,0,0,0
YO066,Chr,1,0,0,0,0,0,0,0,6,0,0,0,1,2,0,32,0,0,0,0,0,0,0,0,0,0
YO352,Chr,1,0,0,0,0,0,0,0,6,0,0,0,1,2,0,32,0,0,0,0,0,0,0,0,0,0
YO358,Chr,1,0,0,0,0,0,0,0,6,0,0,0,1,2,0,32,0,0,0,0,0,0,0,0,0,0
YO360,Chr,1,0,0,0,0,0,0,0,6,0,0,0,1,2,0,32,0,0,0,0,0,0,0,0,0,0
