Isolate,ISBma3,ISBma2,ISRsy1,ISRme4,ISRso7,IS401,ISAisp2,ISButh1,ISRso10,ISRso11,ISRso12,ISRso14,ISRso16,ISRso20,ISRso13,IS1021,IS1405,IS1420,IS1421,ISRso1,ISRso18,ISRso9,Unknown_IS5,ISVei4,ISRso17,ISRso15
YO025,5,0,0,0,0,0,0,1,1,1,0,5,3,1,0,0,1,0,2,5,1,0,0,0,0,25
YO003.unfiltered.nanopore,5,0,0,0,0,0,0,1,1,4,1,0,3,1,0,4,0,0,6,7,0,0,0,0,0,0
YO030,3,0,0,0,0,0,0,1,1,4,1,0,3,1,0,3,0,1,6,9,0,0,0,0,0,0
YO024,3,0,0,0,0,0,0,1,1,4,1,0,3,1,0,3,0,1,7,8,0,0,0,0,0,0
YO375,0,0,0,0,0,0,0,0,1,2,1,0,3,0,0,2,9,0,2,3,11,0,3,0,0,0
YO376.unfiltered.nanopore,0,0,0,0,0,0,0,0,1,2,1,0,4,0,0,1,6,0,3,5,6,0,4,0,0,0
YO083.nanopore,3,0,0,0,0,0,0,0,1,4,1,0,4,1,0,2,7,0,5,5,6,0,3,0,0,0
YO006.unfiltered.nanopore,0,0,0,0,0,0,0,0,0,4,0,0,3,1,0,0,9,0,6,5,6,0,4,0,0,0
YO084,3,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
YO029,0,0,0,0,0,0,0,0,0,4,0,0,3,1,0,2,11,0,4,7,10,0,3,0,0,0
YO379,3,0,0,0,0,0,1,0,1,4,1,0,3,1,0,2,8,0,2,6,4,0,1,1,0,0
YO023,5,0,0,0,0,0,0,0,1,2,1,0,3,0,0,2,10,0,4,4,5,0,3,3,0,0
YO161,8,0,0,0,0,0,0,0,1,2,1,0,3,1,0,1,11,0,4,3,10,0,3,1,0,0
YO131,8,0,0,0,0,0,0,0,1,2,1,0,3,1,0,3,7,0,5,4,6,0,6,1,0,0
YO378,6,0,0,0,0,0,0,0,1,2,1,0,3,1,0,2,8,0,5,3,9,0,5,1,0,0
YO040,6,0,0,0,0,0,0,0,4,2,1,0,3,0,0,2,13,0,5,4,6,0,0,0,0,0
YO182,2,0,3,0,0,2,0,6,0,0,0,0,4,1,2,4,1,0,12,3,1,2,0,0,1,3
YO193.nanopore,2,0,0,0,0,3,0,2,1,0,0,0,4,1,0,0,5,0,1,3,3,1,3,0,3,0
YO135.unfiltered.nanopore,2,0,0,0,0,3,0,2,1,0,0,0,4,1,0,0,6,0,1,3,2,1,4,0,2,0
YO178,2,0,0,0,0,3,0,2,1,0,0,0,4,1,0,0,5,0,1,4,3,1,4,0,4,0
YO194,2,0,0,0,0,3,0,2,1,0,0,0,4,1,0,0,5,0,1,4,3,1,4,0,3,0
YO122,2,0,0,0,0,3,0,2,1,0,0,0,4,1,0,0,4,0,1,4,1,1,4,0,3,0
YO164,3,0,0,0,0,3,0,3,0,0,0,0,4,1,1,0,5,4,1,2,1,0,2,0,3,0
YO079,3,0,0,0,0,3,0,5,0,0,0,0,4,1,1,2,6,4,1,3,1,0,1,0,3,0
YO163,3,0,0,0,0,2,0,3,0,0,0,0,4,1,1,0,6,4,1,3,2,0,1,0,3,0
YO137,0,0,0,0,0,2,0,3,0,0,0,0,4,1,1,2,0,11,3,5,4,1,2,0,2,0
YO140,0,0,0,0,0,2,0,2,0,0,0,0,4,0,1,2,1,10,3,4,4,1,2,0,2,0
YO138,0,0,0,0,0,2,0,3,0,0,0,0,4,1,2,1,1,11,3,5,6,1,2,0,2,0
YO136,0,0,0,0,0,2,0,3,0,0,0,0,4,1,1,0,0,11,3,6,4,1,2,0,2,0
YO139,0,0,0,0,0,2,0,2,0,0,0,0,4,1,1,2,2,9,3,4,5,1,1,0,2,0
