Isolate,ISBma3,ISBma2,ISRsy1,ISRme4,ISRso7,IS401,ISAisp2,ISButh1,ISRso10,ISRso11,ISRso12,ISRso14,ISRso16,ISRso20,ISRso13,IS1021,IS1405,IS1420,IS1421,ISRso1,ISRso18,ISRso9,Unknown_IS5,ISVei4,ISRso17,ISRso15
YO014,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0
YO016,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,17,0,0,0,0,0,0,2,0
YO015,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,18,0,0,0,0,0,0,2,0
YO381,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,5,0,9,6,0,0,0,0,0,0,0
YO189,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,6,0,6,3,0,0,0,0,0,0,0
YO098,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,5,0,10,5,0,0,0,0,0,0,0
YO088,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,6,0,10,5,0,0,0,0,0,0,0
YO033,7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YO134,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0
YO077,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
YO041,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
YO111,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,5,0,0,0,0
YO043,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,5,0,0,0,0
YO142,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,5,0,0,0,0
YO039,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,5,0,0,0,0
