Isolate,Phylotype,ISBma3,ISBma2,ISRsy1,ISRme4,ISRso7,IS401,ISAisp2,ISButh1,ISRso10,ISRso11,ISRso12,ISRso14,ISRso16,ISRso20,ISRso13,IS1021,IS1405,IS1420,IS1421,ISRso1,ISRso18,ISRso9,Unknown_IS5,ISVei4,ISRso17,ISRso15
YO129,IIB,1,0,0,1,1,0,0,0,6,0,0,0,1,5,0,75,1,0,0,1,0,0,0,0,0,0
YO002,IIB,1,0,0,1,1,0,0,0,6,0,0,0,1,5,0,69,1,0,0,1,0,0,0,0,0,0
YO184,IIB,1,0,0,1,1,0,0,0,6,0,0,0,1,5,0,71,1,0,1,1,1,0,0,0,0,0
YO019,IIB,1,0,0,1,1,0,0,0,6,0,0,0,1,5,0,78,1,0,0,1,0,0,0,0,0,0
YO251,IIB,1,0,0,1,1,0,0,0,6,0,0,0,1,5,0,74,1,0,0,1,0,0,0,0,0,0
YO250,IIB,1,0,0,1,1,0,0,0,6,0,0,0,1,5,0,72,1,0,0,1,1,0,0,0,0,0
YO258,IIB,1,0,0,1,1,0,0,0,6,0,0,0,1,5,0,73,1,0,1,1,1,0,0,0,0,0
YO210,IIB,1,0,0,1,1,0,0,0,6,0,0,0,1,5,0,77,1,0,1,1,1,0,0,0,0,0
YO241,IIB,1,0,0,1,1,0,0,0,6,0,0,0,1,5,0,77,1,0,0,1,0,0,0,0,0,0
YO287,IIB,1,0,0,1,1,0,0,0,5,0,0,0,1,5,0,70,1,0,1,0,1,0,0,0,0,0
YO293,IIB,1,0,0,1,1,0,0,0,6,0,0,0,1,5,0,70,1,0,1,0,0,0,0,0,0,0
YO237,IIB,1,0,0,1,1,0,0,0,6,0,0,0,1,6,0,71,1,0,0,1,0,0,0,0,0,0
YO321,IIB,1,0,0,1,1,0,0,0,6,0,0,0,1,5,0,67,1,0,0,0,1,0,0,0,0,0
YO232,IIB,1,0,0,1,1,0,0,0,6,0,0,0,1,5,0,77,1,0,1,0,0,0,0,0,0,0
YO203,IIB,1,0,0,1,1,0,0,0,5,0,0,0,1,5,0,69,1,0,0,1,0,0,0,0,0,0
YO166,IIB,1,0,0,1,1,0,0,0,6,0,0,0,1,5,0,68,1,0,0,1,0,0,0,0,0,0
YO370,IIB,1,0,0,1,1,0,0,0,6,0,0,0,1,6,0,67,1,0,0,1,1,0,0,0,0,0
YO070,IIB,2,0,0,1,1,0,0,0,6,0,0,0,1,4,0,68,0,0,0,1,0,0,0,0,0,0
YO069,IIB,1,0,0,1,1,0,0,0,6,0,0,0,1,6,0,73,1,0,0,1,1,0,0,0,0,0
YO347,IIB,1,0,0,1,1,0,0,0,5,0,0,0,1,5,0,73,1,0,1,1,0,0,0,0,0,0
YO316,IIB,2,0,0,1,1,0,0,0,6,0,0,0,1,5,0,67,0,0,1,1,1,0,0,0,0,0
YO317,IIB,1,0,0,1,1,0,0,0,6,0,0,0,1,5,0,69,1,0,0,1,0,0,0,0,0,0
YO113,IIB,1,0,0,1,1,0,0,0,6,0,0,0,1,5,0,69,0,0,0,1,0,0,0,0,0,0
YO369,IIB,1,0,0,1,1,0,0,0,6,0,0,0,1,5,0,72,1,0,0,1,0,0,0,0,0,0
YO356,IIB,1,0,0,1,1,0,0,0,6,0,0,0,1,5,0,69,1,0,1,1,1,0,0,0,0,0
YO361,IIB,1,0,0,1,1,0,0,0,6,0,0,0,1,5,0,74,1,0,0,1,1,0,0,0,0,0
YO097.unfiltered.nanopore,IIB,1,0,0,1,1,0,0,0,7,0,0,0,1,5,0,72,0,0,1,1,0,0,0,0,0,0
YO017.unfiltered.nanopore,IIB,1,0,0,1,1,0,0,0,6,0,0,0,1,5,0,69,1,0,2,1,1,0,0,0,0,0
YO185.unfiltered.nanopore,IIB,1,0,0,1,1,0,0,0,6,0,0,0,1,5,0,71,1,0,0,1,1,0,0,0,0,0
YO172.nanopore,IIB,2,0,0,1,1,0,0,0,6,0,0,0,1,5,0,72,1,0,0,1,1,0,0,0,0,0
YO143.unfiltered.nanopore,IIB,1,0,0,1,1,0,0,0,6,0,0,0,1,5,0,66,1,0,0,1,1,0,0,0,0,0
YO199.nanopore,IIB,1,0,0,1,1,0,0,0,6,0,0,0,1,5,0,75,1,0,1,1,1,0,0,0,0,0
YO066.nanopore,IIB,1,0,0,1,1,0,0,0,6,0,0,0,1,5,0,66,1,0,0,1,1,0,0,0,0,0
YO352.unfiltered.nanopore,IIB,1,0,0,1,1,0,0,0,6,0,0,0,1,5,0,67,1,0,0,1,1,0,0,0,0,0
YO358,IIB,1,0,0,1,1,0,0,0,6,0,0,0,1,4,0,70,1,0,0,0,1,0,0,0,0,0
YO360,IIB,1,0,0,1,1,0,0,0,6,0,0,0,1,5,0,74,1,0,0,1,0,0,0,0,0,0
YO230,IIB,1,0,0,1,1,0,0,0,6,0,0,0,1,6,0,70,1,0,0,0,0,0,0,0,0,0
YO335,IIB,1,0,0,1,1,0,0,0,7,0,0,0,1,5,0,67,1,0,1,1,1,0,0,0,0,0
YO365,IIB,1,0,0,1,1,0,0,0,6,0,0,0,1,5,0,72,1,0,0,1,1,0,0,0,0,0
